id	title	creator	pubd	pages	bc
in.ernet.dli.2015.364836	ಕನಸಿನ ಮನೆ	ವಿ. ಎಂ. ಇನಾಂದಾರ್	1954-01-01T00:00:00Z	259	2030020028443
in.ernet.dli.2015.364837	ಸ್ವರ್ಗದ ಬಾಗಿಲು ೩೧	ಸಿಂಪಿ ಲಿಂಗಣ್ಣ	1951-01-01T00:00:00Z	247	2030020028444
in.ernet.dli.2015.364838	ಮಳೆಗಾಲದ ಮಲೆನಾಡು	ದೇವಕರ ಕೃಷ್ಣರಾಯರು	1933-01-01T00:00:00Z	69	2030020028445
in.ernet.dli.2015.364839	ರಾಮಚಂದ್ರ	ಜಂಗಮಕೋಟೆ ಕೃಷ್ಣಶಾಸ್ತ್ರಿ	1928-01-01T00:00:00Z	64	2030020028446
in.ernet.dli.2015.364840	ರಾಜಲಕ್ಷ್ಮಿ	ಶ್ರೀ ಗುರುನಾಥ ಜೋಶಿ	1944-01-01T00:00:00Z	133	2030020028447
in.ernet.dli.2015.364841	ಕ್ಷಾತ್ರತೇಜ ಅಥವಾ ಸ್ವಾಮಿಭಕ್ತಿ ಪ್ರದರ್ಶನ	ವೇ. ತಿ. ಗಳಗನಾಥರು	1955-01-01T00:00:00Z	221	2030020028448
in.ernet.dli.2015.364842	ಶ್ರೀ ವಿದ್ಯಾರಣ್ಯ ವಿಜಯ ಮೂರನೇ ಆವೃತ್ತಿ	ಬಿ. ಶ್ರೀನಿವಾಸ ಭಟ್ಟ	1928-01-01T00:00:00Z	160	2030020028451
in.ernet.dli.2015.364843	ಗುಲಾಬಿ ಹೂ	ಬಸವರಾಜ ಕಟ್ಟೀಮನಿ	1946-01-01T00:00:00Z	134	2030020027436
in.ernet.dli.2015.364844	ಪ್ರಾರಭ್ದ ಪ್ರಹಾರ	ನಾರಾಯಣ ರಾವ್ ಇ	1932-01-01T00:00:00Z	62	2030020028452
in.ernet.dli.2015.364845	ನಾಡ ಕಥೆಗಳು ಭಾಗ ೧	ಕಿರಿಯರ ಪ್ರಪಂಚ	1933-01-01T00:00:00Z	43	2030020028454
in.ernet.dli.2015.364846	ಘಾತುಕ ಶಿತಿಕಂಠ	ಭಿ.ಪ.ಕಾಳೆ	1930-01-01T00:00:00Z	102	2030020028455
